sanskrit_word,devanagari,english,pos,category,example,example_meaning
puraskāraḥ,पुरस्कारः,award,noun,abstract,पुरस्कारं प्राप्नोति।,He receives an award.
lakṣhyam,लक्ष्यम्,goal,noun,abstract,लक्ष्यं दूरस्थम्।,The goal is far.
upalabdhiḥ,उपलब्धिः,achievement,noun,abstract,उपलब्धिः गर्वस्य कारणम्।,Achievement is a cause for pride.
kauśhalam,कौशलम्,skill,noun,abstract,कौशलं अभ्यासेन वर्धते।,Skill increases with practice.
pratibhā,प्रतिभा,talent,noun,abstract,प्रतिभा जन्मजा।,Talent is innate.
prajñā,प्रज्ञा,wisdom,noun,abstract,प्रज्ञा वृद्धैः लभ्यते।,Wisdom is gained from elders.
buddhi,बुद्धि,intelligence,noun,abstract,बुद्धिः तीक्ष्णा भवति।,Intelligence becomes sharp.
anubhavaḥ,अनुभवः,experience,noun,abstract,अनुभवः श्रेष्ठः गुरुः।,Experience is the best teacher.
vidyā,विद्या,education,noun,abstract,विद्या दीपकः इव।,Education is like a lamp.
pāṭhaḥ,पाठः,lesson,noun,abstract,पाठः सरलः अस्ति।,The lesson is simple.
bhāṣhā,भाषा,language,noun,abstract,भाषा सम्पर्कस्य साधनम्।,Language is a means of communication.
padam,पदम्,word,noun,abstract,पदं वाक्यस्य अङ्गम्।,A word is a part of a sentence.
vākyam,वाक्यम्,sentence,noun,abstract,वाक्यं पूर्णं भावं वदति।,A sentence expresses a complete thought.
vyākaraṇam,व्याकरणम्,grammar,noun,abstract,व्याकरणं भाषायाः नियमाः।,Grammar is the rules of language.
kathā,कथा,story,noun,abstract,कथा रोचिका अस्ति।,The story is interesting.
kāvyam,काव्यम्,poem,noun,abstract,काव्यं हृदयस्पर्शी।,Poetry is touching.
upanyāsaḥ,उपन्यासः,novel,noun,abstract,उपन्यासः दीर्घः भवति।,A novel is long.
kalpitakathā,कल्पितकथा,fiction,noun,abstract,कल्पितकथा मनोरञ्जिका।,Fiction is entertaining.
yathārthavṛittāntaḥ,यथार्थवृत्तान्तः,non-fiction,noun,abstract,यथार्थवृत्तान्तः तथ्याधारितः।,Non-fiction is fact-based.
nāṭakam,नाटकम्,drama,noun,abstract,नाटकं रङ्गमञ्चे भवति।,Drama occurs on stage.
hāsyam,हास्यम्,comedy,noun,abstract,हास्यं जनान् हसयति।,Comedy makes people laugh.
trāsadaḥ,त्रासदः,tragedy,noun,abstract,त्रासदः दुःखं जनयति।,Tragedy creates sorrow.
mukhyapātram,मुख्यपात्रम्,protagonist,noun,abstract,मुख्यपात्रं कथायाः केन्द्रम्।,The protagonist is the center of the story.
pratipakṣhī,प्रतिपक्षी,antagonist,noun,abstract,प्रतिपक्षी विरोधी भवति।,The antagonist is the opponent.
pariveśhaḥ,परिवेशः,setting,noun,abstract,परिवेशः कथां सजीवं करोति।,The setting makes the story vivid.
kathāsāraḥ,कथासारः,plot,noun,abstract,कथासारः जटिलः भवति।,The plot becomes complex.
pātram,पात्रम्,character,noun,abstract,पात्रं व्यक्तित्वं धारयति।,A character possesses personality.
saṁvādaḥ,संवादः,dialogue,noun,abstract,संवादः कथां चालयति।,Dialogue drives the story.
saṅgharṣhaḥ,संघर्षः,conflict,noun,abstract,संघर्षः कथायाः आवश्यकः।,Conflict is necessary for a story.
samādhānam,समाधानम्,resolution,noun,abstract,समाधानं शान्तिं आनयति।,Resolution brings peace.
viṣhayaḥ,विषयः,theme,noun,abstract,विषयः गम्भीरः भवति।,The theme becomes profound.
samīkṣhā,समीक्षा,review,noun,abstract,समीक्षा उपयोगी भवति।,A review is useful.
vidhā,विधा,genre,noun,abstract,विधा भेदं सूचयति।,Genre indicates a category.
kalpita,कल्पित,fictional,adjective,abstract,कल्पिता कथा रम्या।,A fictional story is delightful.
yathārthavādī,यथार्थवादी,realistic,adjective,abstract,यथार्थवादी चित्रणं सत्यम्।,Realistic portrayal is true.
kalpanā,कल्पना,fantasy,noun,abstract,कल्पना असीमा।,Fantasy is limitless.
rahasya,रहस्य,mystery,noun,abstract,रहस्यं रोमाञ्चकरम्।,Mystery is thrilling.
sāhasikam,साहसिक,adventure,adjective,abstract,साहसिकं यात्रा रोमाञ्चकरी।,An adventurous journey is thrilling.
vaijñānikkathā,वैज्ञानिककथा,science fiction,noun,abstract,वैज्ञानिककथा भविष्यं चिन्तयति।,Science fiction thinks about the future.
premakathā,प्रेमकथा,romance,noun,abstract,प्रेमकथा हृदयस्पर्शी।,A romance story is touching.
romāñchakathā,रोमाञ्चकथा,thriller,noun,abstract,रोमाञ्चकथा भयङ्करा।,A thriller story is frightening.
jīvanī,जीवनी,biography,noun,abstract,जीवनी जीवनवृत्तान्तम्।,A biography is a life account.
ātmakathā,आत्मकथा,autobiography,noun,abstract,आत्मकथा स्वयं लिखिता।,Autobiography is self-written.
itihāsaḥ,इतिहासः,history,noun,abstract,इतिहासः भूतकालस्य अध्ययनम्।,History is the study of the past.
darśhanam,दर्शनम्,philosophy,noun,abstract,दर्शनं जीवनस्य तत्त्वज्ञानम्।,Philosophy is the knowledge of life's principles.
dharmaḥ,धर्मः,religion,noun,abstract,धर्मः मार्गदर्शकः।,Religion is a guide.
purāṇavidyā,पुराणविद्या,mythology,noun,abstract,पुराणविद्या पुरातनकथाः।,Mythology are ancient stories.
kalā,कला,art,noun,abstract,कला सृष्टिः भवति।,Art is creation.
saṅgītam,संगीतम्,music,noun,abstract,संगीतं मनः प्रसादयति।,Music soothes the mind.
nṛityam,नृत्यम्,dance,noun,abstract,नृत्यं आनन्दस्य अभिव्यक्तिः।,Dance is an expression of joy.
chitrakalā,चित्रकला,painting,noun,abstract,चित्रकलायां वर्णाः उपयुज्यन्ते।,Colors are used in painting.
śhilpakalā,शिल्पकला,sculpture,noun,abstract,शिल्पकलायां पाषाणः तक्ष्यते।,Stone is carved in sculpture.
vāstukalā,वास्तुकला,architecture,noun,abstract,वास्तुकला भवननिर्माणकला।,Architecture is the art of building construction.
chhāyāchitraṇam,छायाचित्रणम्,photography,noun,abstract,छायाचित्रणं क्षणं सङ्गृह्णाति।,Photography captures a moment.
chalachchitram,चलच्चित्रम्,film,noun,abstract,चलच्चित्रं मनोरञ्जनस्य साधनम्।,Film is a means of entertainment.
utsavaḥ,उत्सवः,festival,noun,abstract,उत्सवः आनन्दस्य समयः।,A festival is a time of joy.
kāryakramaḥ,कार्यक्रमः,ceremony,noun,abstract,कार्यक्रमः आयोजितः भवति।,A ceremony is organized.
vidhi,विधि,ritual,noun,abstract,विधिः पारम्परिकः क्रमः।,A ritual is a traditional procedure.
paramparā,परम्परा,tradition,noun,abstract,परम्परा पीढीदरपीढ्या चलति।,Tradition continues generation after generation.
saṁskṛitiḥ,संस्कृतिः,culture,noun,abstract,संस्कृतिः समाजस्य पहिचानः।,Culture is the identity of a society.
āchāraḥ,आचारः,custom,noun,abstract,आचारः सामाजिकः नियमः।,Custom is a social rule.
viśhvāsaḥ,विश्वासः,belief,noun,abstract,विश्वासः मनसः आधारः।,Belief is the foundation of the mind.
prārthanā,प्रार्थना,prayer,noun,abstract,प्रार्थना ईश्वरस्य सम्पर्कः।,Prayer is communication with God.
dhyānam,ध्यानम्,meditation,noun,abstract,ध्यानं मनः एकाग्रं करोति।,Meditation concentrates the mind.
yogaḥ,योगः,yoga,noun,abstract,योगः शरीरमनसोः संयोगः।,Yoga is union of body and mind.
ādhyātmikatā,आध्यात्मिकता,spirituality,noun,abstract,आध्यात्मिकता आत्मनः अन्वेषणम्।,Spirituality is exploration of the self.
śhāstram,शास्त्रम्,scripture,noun,abstract,शास्त्रं ज्ञानस्य स्रोतः।,Scripture is a source of knowledge.
āśhīrvādaḥ,आशीर्वादः,blessing,noun,abstract,आशीर्वादः मङ्गलकामना।,A blessing is a benediction.
pāpam,पापम्,sin,noun,abstract,पापं दुःखस्य कारणम्।,Sin is a cause of sorrow.
kṣhamā,क्षमा,forgiveness,noun,abstract,क्षमा महत् गुणः।,Forgiveness is a great virtue.
karma,कर्म,karma,noun,abstract,कर्म फलदम्।,Karma yields results.
punarjanma,पुनर्जन्म,reincarnation,noun,abstract,पुनर्जन्म आत्मनः पुनरावृत्तिः।,Reincarnation is the rebirth of the soul.
bodhi,बोधि,enlightenment,noun,abstract,बोधि परमज्ञानम्।,Enlightenment is supreme knowledge.
mokṣhaḥ,मोक्षः,salvation,noun,abstract,मोक्षः मुक्तिः।,Salvation is liberation.
svargaḥ,स्वर्गः,heaven,noun,abstract,स्वर्गः सुखस्य स्थानम्।,Heaven is a place of happiness.
narakaḥ,नरकः,hell,noun,abstract,नरकः दुःखस्य स्थानम्।,Hell is a place of suffering.
kalpitakathā,कल्पितकथा,myth,noun,abstract,कल्पितकथा प्राचीना।,A myth is ancient.
ākhyānam,आख्यानम्,legend,noun,abstract,आख्यानम् ऐतिहासिकं भवति।,A legend is historical.
upākhyānam,उपाख्यानम्,fable,noun,abstract,उपाख्यानं नीतिं शिक्षयति।,A fable teaches a moral.
nītiḥ,नीतिः,moral,noun,abstract,नीतिः श्रेष्ठः मार्गः।,Morality is the right path.
dṛiṣṭāntaḥ,दृष्टान्तः,parable,noun,abstract,दृष्टान्तः उपदेशस्य साधनम्।,A parable is a means of teaching.
sūktiḥ,सूक्तिः,proverb,noun,abstract,सूक्तिः लघुः ज्ञानवाक्यम्।,A proverb is a short knowledgeable sentence.
prahelikā,प्रहेलिका,riddle,noun,abstract,प्रहेलिका बुद्धिपरीक्षा।,A riddle is a test of intelligence.
kutumbam,कुटुम्बम्,family,noun,abstract,कुटुम्बं समाजस्य आधारः।,Family is the foundation of society.
alaṅkāraḥ,अलंकारः,decor,noun,abstract,अलंकारः गृहं सुन्दरं करोति।,Decor makes the house beautiful.
uṣhṇatāsādhanam,उष्णतासाधनम्,heating,noun,abstract,उष्णतासाधनं शीते उपयुज्यते।,Heating is used in cold.
tāpamānakaṭūtiḥ,तापमानकटूतिः,cooling,noun,abstract,तापमानकटूतिः ग्रीष्मे उपयुज्यते।,Cooling is used in summer.
vātānukūlanam,वातानुकूलनम्,air conditioning,noun,abstract,वातानुकूलनं वातावरणं नियन्त्रयति।,Air conditioning controls the environment.
surakṣhā,सुरक्षा,security,noun,abstract,सुरक्षा महत्त्वपूर्णा।,Security is important.
vyavasthā,व्यवस्था,schedule,noun,abstract,व्यवस्था कार्याणि नियन्त्रयति।,Schedule controls tasks.
avadhiḥ,अवधिः,appointment,noun,abstract,अवधिः निश्चितः समयः।,Appointment is a fixed time.
sabhā,सभा,meeting,noun,abstract,सभायां चर्चा भवति।,Discussion happens in a meeting.
sammelanam,सम्मेलनम्,conference,noun,abstract,सम्मेलने विचाराः विनिमीयन्ते।,Ideas are exchanged in a conference.
pradarśhanam,प्रदर्शनम्,presentation,noun,abstract,प्रदर्शनं ज्ञानं वितरति।,Presentation distributes knowledge.
vyākhyānam,व्याख्यानम्,lecture,noun,abstract,व्याख्यानं श्रव्यं भवति।,Lecture is audible.
vargaḥ,वर्गः,class,noun,abstract,वर्गे छात्राः पठन्ति।,Students study in class.
gṛihakāryam,गृहकार्यम्,homework,noun,abstract,गृहकार्यं गृहे कर्तव्यम्।,Homework is to be done at home.
abhiyojanam,अभियोजनम्,assignment,noun,abstract,अभियोजनं दीर्घकालिकं कार्यम्।,Assignment is a long-term task.
parīkṣhā,परीक्षा,exam,noun,abstract,परीक्षा ज्ञानं मापयति।,Exam measures knowledge.
jāñchaḥ,जांचः,test,noun,abstract,जांचः लघुः परीक्षा।,Test is a short exam.
śhreṇī,श्रेणी,grade,noun,abstract,श्रेणी प्रदर्शनस्य सूचकः।,Grade is an indicator of performance.
aṅkaḥ,अंकः,score,noun,abstract,अंकः संख्यात्मकः मापः।,Score is a numerical measure.
pramāṇapatram,प्रमाणपत्रम्,certificate,noun,abstract,प्रमाणपत्रं योग्यतायाः प्रमाणम्।,Certificate is proof of qualification.
padavī,पदवी,diploma,noun,abstract,पदवी शैक्षणिकं प्रमाणपत्रम्।,Diploma is an educational certificate.
upādhi,उपाधि,degree,noun,abstract,उपाधिः उच्चशिक्षायाः प्रतीकः।,Degree is a symbol of higher education.
vyavasāyaḥ,व्यवसायः,career,noun,abstract,व्यवसायः दीर्घकालिकः पेशा।,Career is a long-term profession.
vetanam,वेतनम्,salary,noun,abstract,वेतनं कार्यस्य मूल्यम्।,Salary is the value of work.
unnayanam,उन्नयनम्,promotion,noun,abstract,उन्नयनं पदोन्नतिः।,Promotion is advancement in position.
sevānivṛitti,सेवानिवृत्ति,retirement,noun,abstract,सेवानिवृत्तेः अनन्तरं विश्रामः।,Rest follows after retirement.
niyukti,नियुक्ति,hiring,noun,abstract,नियुक्तिः नवकार्यार्थम्।,Hiring is for new work.
baccharāśhyam,बच्चावश्यम्,firing,noun,abstract,बच्चावश्यं कार्यभ्रंशः।,Firing is termination of work.
tyāgapatram,त्यागपत्रम्,resignation,noun,abstract,त्यागपत्रं स्वेच्छया पदत्यागः।,Resignation is voluntary leaving of a post.
sākṣhātkāraḥ,साक्षात्कारः,interview,noun,abstract,साक्षात्कारे योग्यता परीक्ष्यते।,Qualification is tested in an interview.
jīvanavṛittāntaḥ,जीवनवृत्तान्तः,resume,noun,abstract,जीवनवृत्तान्ते विवरणं भवति।,There are details in a resume.
āvedanapatram,आवेदनपत्रम्,cover letter,noun,abstract,आवेदनपत्रं अर्जी सह भवति।,Cover letter is with the application.
jālasambandhaḥ,जालसम्बन्धः,networking,noun,abstract,जालसम्बन्धः सम्पर्कवृद्धिः।,Networking is increase of contacts.
kampanī,कम्पनी,company,noun,abstract,कम्पन्यां बहवः कर्मचाराः सन्ति।,There are many employees in a company.
nagadaḥ,नगदः,cash,noun,abstract,नगदः तत्कालिकं धनम्।,Cash is immediate money.
khātā,खाता,account,noun,abstract,खाते धनं संगृह्यते।,Money is collected in an account.
bachatkhātā,बचतखाता,savings,noun,abstract,बचतखाते भविष्यार्थं धनं सङ्गृह्यते।,Money is saved for future in a savings account.
chekiṅgakhātā,चेकिंगखाता,checking,noun,abstract,चेकिंगखातातः चेक लिख्यते।,Cheque is written from a checking account.
niveśhaḥ,निवेशः,investment,noun,abstract,निवेशः भविष्ये लाभार्थम्।,Investment is for future profit.
ṛiṇam,ऋणम्,loan,noun,abstract,ऋणं परतो दातव्यम्।,Loan is to be returned.
byājaḥ,ब्याजः,interest,noun,abstract,ब्याजः ऋणस्य अतिरिक्तमूल्यम्।,Interest is extra value of a loan.
gṛihavittāṛiṇam,गृहवित्तऋणम्,mortgage,noun,abstract,गृहवित्तऋणं गृहक्रयार्थम्।,Mortgage is for buying a house.
vimā,विमा,insurance,noun,abstract,विमा जोखिमरक्षणम्।,Insurance is risk protection.
karam,करम्,tax,noun,abstract,करः सरकाराय दीयते।,Tax is given to the government.
bonasaḥ,बोनसः,bonus,noun,abstract,बोनसः अतिरिक्तं धनम्।,Bonus is extra money.
kamīśhanaḥ,कमीशनः,commission,noun,abstract,कमीशनः विक्रयात् लाभांशः।,Commission is profit share from sales.
lābhaḥ,लाभः,profit,noun,abstract,लाभः आयः व्ययात् अधिकः।,Profit is income more than expenditure.
hāniḥ,हानिः,loss,noun,abstract,हानिः व्ययः आयात् अधिकः।,Loss is expenditure more than income.
sṭākḥ,स्टॉकः,stock,noun,abstract,स्टॉकः कम्पनीस्य अंशः।,Stock is a share of a company.
bām̐ḍaḥ,बाँड़ः,bond,noun,abstract,बाँड़ः ऋणपत्रम्।,Bond is a debt instrument.
achalasampattiḥ,अचलसम्पत्तिः,real estate,noun,abstract,अचलसम्पत्तिः भूमिः भवनं वा।,Real estate is land or building.
sampattiḥ,सम्पत्तिः,property,noun,abstract,सम्पत्तिः स्वामित्वयुक्तं वस्तु।,Property is an owned object.
kirāyā,किराया,rent,noun,abstract,किराया भोगार्थं दीयते।,Rent is paid for usage.
paṭṭaḥ,पट्टः,lease,noun,abstract,पट्टः दीर्घकालिकं करारः।,Lease is a long-term agreement.
sampattiḥ,सम्पत्तिः,asset,noun,abstract,सम्पत्तिः मूल्यवत् वस्तु।,Asset is a valuable object.
deyatā,देयता,liability,noun,abstract,देयता दायित्वम्।,Liability is obligation.
sampattiśheṣhaḥ,संपत्तिशेषः,equity,noun,abstract,संपत्तिशेषः स्वामिभागः।,Equity is the owner's share.
bhāgaphalam,भागफलम्,dividend,noun,abstract,भागफलं लाभविभाजनम्।,Dividend is profit distribution.
borḍaḥ,बोर्डः,board of directors,noun,abstract,बोर्डः निर्णयकारी समितिः।,Board of directors is the decision-making committee.
mānavasaṁsādhanaḥ,मानवसंसाधनः,human resources,noun,abstract,मानवसंसाधनः कर्मचारिविषयकः।,Human resources is related to employees.
vipaṇī,विपणी,marketing,noun,abstract,विपणी विक्रयप्रचारः।,Marketing is sales promotion.
vikrayaḥ,विक्रयः,sales,noun,abstract,विक्रयः वस्तूनां हस्तान्तरणम्।,Sales is transfer of goods.
grāhakasevā,ग्राहकसेवा,customer service,noun,abstract,ग्राहकसेवा सहायकी।,Customer service is helpful.
utpādaḥ,उत्पादः,product,noun,abstract,उत्पादः निर्मितं वस्तु।,Product is a manufactured thing.
brāṇḍaḥ,ब्राण्डः,brand,noun,abstract,ब्राण्डः पहिचानः।,Brand is identity.
vijñāpanam,विज्ञापनम्,advertisement,noun,abstract,विज्ञापनं सन्देशप्रसारः।,Advertisement is message dissemination.
ṭikaṭaḥ,टिकटः,ticket,noun,abstract,टिकटः प्रवेशस्य प्रमाणम्।,Ticket is proof of entry.
kirāyā,किराया,fare,noun,abstract,किराया यात्रामूल्यम्।,Fare is travel cost.
ārakṣhaṇam,आरक्षणम्,reservation,noun,abstract,आरक्षणं पूर्वनियोजनम्।,Reservation is pre-booking.
vījā,वीजा,visa,noun,abstract,वीजा प्रवेशानुमतिः।,Visa is entry permission.
āyātanirīkṣaṇam,आयातनिरीक्षणम्,customs,noun,abstract,आयातनिरीक्षणं मालपरीक्षा।,Customs is goods inspection.
pravāsanavibhāgaḥ,प्रवासनविभागः,immigration,noun,abstract,प्रवासनविभागः प्रवासीकार्यम्।,Immigration is migrant work.
borḍiṅgaḥ,बोर्डिंगः,boarding,noun,abstract,बोर्डिंगः वाहनारोहणम्।,Boarding is vehicle entry.
ārohaṇam,आरोहणम्,takeoff,noun,abstract,आरोहणं विमानस्य उड्डयनम्।,Takeoff is airplane's taking flight.
avarohaṇam,अवरोहणम्,landing,noun,abstract,अवरोहणं विमानस्य अवतरणम्।,Landing is airplane's descent.
vilaṁbaḥ,विलंबः,delay,noun,abstract,विलंबः समयातिक्रमः।,Delay is time overrun.
raddīkaraṇam,रद्दीकरणम्,cancellation,noun,abstract,रद्दीकरणं निरसनम्।,Cancellation is annulment.
saṁparkaḥ,संपर्कः,connection,noun,abstract,संपर्कः सम्बन्धः।,Connection is relation.
gacchati,गच्छति,goes,verb,action,रामः विद्यालयं गच्छति।,Rama goes to school.
āgacchati,आगच्छति,comes,verb,action,सीता गृहं आगच्छति।,Sita comes home.
tiṣṭhati,तिष्ठति,stands,verb,action,बालकः तिष्ठति।,Boy stands.
upaviśati,उपविशति,sits,verb,action,छात्रः उपविशति।,Student sits.
śayīte,शेते,sleeps,verb,action,बालः शेते।,Child sleeps.
paṭhati,पठति,reads,verb,action,विद्यार्थी पठति।,Student reads.
likhati,लिखति,writes,verb,action,लेखकः लिखति।,Writer writes.
bhāṣate,भाषते,speaks,verb,action,वक्ता भाषते।,Speaker speaks.
śṛṇoti,शृणोति,listens,verb,action,श्रोता शृणोति।,Listener listens.
paśyati,पश्यति,sees,verb,action,चक्षुषा पश्यति।,Sees with eyes.
khādati,खादति,eats,verb,action,अन्नं खादति।,Eats food.
pibati,पिबति,drinks,verb,action,जलं पिबति।,Drinks water.
karoti,करोति,does,verb,action,कर्म करोति।,Does work.
dadyāt,दद्यात्,gives,verb,action,धनं दद्यात्।,Gives money.
gṛhṇāti,गृह्णाति,takes,verb,action,पुस्तकं गृह्णाति।,Takes book.
vadati,वदति,says,verb,action,सत्यं वदति।,Says truth.
prārthayati,प्रार्थयति,prays,verb,action,ईश्वरं प्रार्थयति।,Prays to God.
krodhyati,क्रोध्यति,gets angry,verb,action,क्रोध्यति कुपितः।,Gets angry.
hasati,हसति,laughs,verb,action,सुखेन हसति।,Laughs happily.
roditi,रोदिति,cries,verb,action,दुःखेन रोदिति।,Cries sadly.
gaccha,गच्छ,go,verb,action,त्वं गच्छ।,You go.
agachchat,अगच्छत्,went,verb,action,सः अगच्छत्।,He went.
āgaccha,आगच्छ,come,verb,action,त्वं आगच्छ।,You come.
upaviśha,उपविश,sit,verb,action,त्वं उपविश।,You sit.
tiṣṭha,तिष्ठ,stand,verb,action,त्वं तिष्ठ।,You stand.
vada,वद,speak,verb,action,त्वं वद।,You speak.
śhṛiṇu,शृणु,listen,verb,action,त्वं शृणु।,You listen.
asha,अश,eat,verb,action,त्वं अश।,You eat.
piba,पिब,drink,verb,action,त्वं पिब।,You drink.
svapa,स्वप,sleep,verb,action,त्वं स्वप।,You sleep.
chara,चर,walk,verb,action,त्वं चर।,You walk.
dhāva,धाव,run,verb,action,त्वं धाव।,You run.
sahāyam kara,सहायम् कर,help,verb,action,सहायं कुरु।,Please help.
kuru,कुरु,do,verb,action,कार्यं कुरु।,Do the work.
karoti,करोति,doing,verb,action,सः कार्यं करोति।,He is doing work.
kṛitam,कृतम्,done,verb,action,कार्यं कृतम्।,The work is done.
manye,मन्ये,think,verb,action,अहं मन्ये।,I think.
chintayati,चिन्तयति,thinking,verb,action,सः चिन्तयति।,He is thinking.
chintitam,चिन्तितम्,thought,verb,action,चिन्तितं ज्ञानम्।,Thoughtful knowledge.
dadātu,ददातु,give,verb,action,धनं ददातु।,Please give money.
dadāti,ददाति,giving,verb,action,सः ददाति।,He gives.
dattam,दत्तम्,given,verb,action,दत्तं धनम्।,The money is given.
paṭha,पठ,read,verb,action,पुस्तकं पठ।,Read the book.
paṭhati,पठति,reading,verb,action,सः पठति।,He reads.
paṭhitam,पठितम्,read (past),verb,action,पुस्तकं पठितम्।,The book was read.
likha,लिख,write,verb,action,पत्रं लिख।,Write a letter.
likhati,लिखति,writing,verb,action,सः लिखति।,He writes.
likhitam,लिखितम्,written,verb,action,लिखितं पत्रम्।,The written letter.
paśhya,पश्य,see,verb,action,तत्र पश्य।,Look there.
paśhyati,पश्यति,seeing,verb,action,सः पश्यति।,He sees.
dṛiṣhṭam,दृष्टम्,seen,verb,action,दृष्टं सिंहः।,The lion was seen.
jānīyāt,जानीयात्,learn,verb,action,ज्ञानं जानीयात्।,May you learn knowledge.
jānāti,जानाति,learning,verb,action,सः जानाति।,He learns.
jñātam,ज्ञातम्,learned,verb,action,ज्ञातं सत्यम्।,The known truth.
āpaṇi,आपणि,shopping,noun,action,आपणि रोचकं भवति।,Shopping is interesting.
pakṣhi,पक्षि,cook,verb,action,भोजनं पक्षि।,Cook the food.
bhavyati,भव्यति,bake,verb,action,रोटिकां भव्यति।,She bakes bread.
uṣhṇatayā pakti,उष्णतया पक्ति,boil,verb,action,जलं उष्णतया पक्ति।,Water boils with heat.
talati,तलति,fry,verb,action,पक्वान्नं तलति।,She fries the snack.
bhasmībhavati,भस्मीभवति,roast,verb,action,आलुं भस्मीभवति।,He roasts the potato.
sudāmyati,सुदाम्यति,grill,verb,action,मांसं सुदाम्यति।,He grills the meat.
anukṣhipati,अनुक्षिपति,stir,verb,action,सूपं अनुक्षिपति।,She stirs the soup.
miśhati,मिशति,mix,verb,action,द्रव्याणि मिशति।,He mixes the ingredients.
bhaṅguratayā karoti,भङ्गुरतया करोति,chop,verb,action,शाकं भङ्गुरतया करोति।,She chops the vegetable.
kṛiṇāti,कृणाति,cut,verb,action,वस्त्रं कृणाति।,He cuts the cloth.
chinatti,छिनति,peel,verb,action,फलस्य त्वक् छिनति।,He peels the fruit's skin.
vibhājati,विभाजति,slice,verb,action,आलुं विभाजति।,She slices the potato.
saphāī,सफाई,cleaning,noun,action,सफाई आवश्यकी।,Cleaning is necessary.
vyavasthāpanam,व्यवस्थापनम्,organizing,noun,action,व्यवस्थापनं कार्यं सुकरं करोति।,Organizing makes work easy.
marammatam,मरम्मतम्,repair,noun,action,मरम्मतं भग्नं सुधरति।,Repair fixes the broken.
rakharakhāvaḥ,रखरखावः,maintenance,noun,action,रखरखावः दीर्घायुष्यं ददाति।,Maintenance gives longevity.
saumya,सौम्य,gentle,easy,adjective,difficulty,सौम्यः मार्गः अस्ति。
śītalam,शीतलम्,cool,adjective,adjectives,शीतलं वायुः।,Cool wind.
adhunā,अधुना,now,adverb,adverbs,अधुना अहं पठामि।,Now I study.
śīghram,शीघ्रम्,quickly,adverb,adverbs,शीघ्रं गच्छ।,Go quickly.
